celebrity_name,picture_number,file_path,brightness
Angelina-Jolie,1,celebrities/Angelina-Jolie/1.jpg,145.55162569389373
Angelina-Jolie,10,celebrities/Angelina-Jolie/10.jpg,126.76500476341695
Angelina-Jolie,100,celebrities/Angelina-Jolie/100.jpg,125.34467958271237
Angelina-Jolie,11,celebrities/Angelina-Jolie/11.jpg,118.6588888888889
Angelina-Jolie,12,celebrities/Angelina-Jolie/12.jpg,58.537125
Angelina-Jolie,13,celebrities/Angelina-Jolie/13.jpg,120.91521112767015
Angelina-Jolie,14,celebrities/Angelina-Jolie/14.jpg,140.68225433986302
Angelina-Jolie,15,celebrities/Angelina-Jolie/15.jpg,144.66283883294193
Angelina-Jolie,16,celebrities/Angelina-Jolie/16.jpg,83.42540286614735
Angelina-Jolie,17,celebrities/Angelina-Jolie/17.jpg,118.73812220566319
Angelina-Jolie,18,celebrities/Angelina-Jolie/18.jpg,81.83819175360159
Angelina-Jolie,19,celebrities/Angelina-Jolie/19.jpg,92.02937547267445
Angelina-Jolie,2,celebrities/Angelina-Jolie/2.jpg,98.42852609868316
Angelina-Jolie,20,celebrities/Angelina-Jolie/20.jpg,127.14551415797317
Angelina-Jolie,21,celebrities/Angelina-Jolie/21.jpg,136.7905753968254
Angelina-Jolie,22,celebrities/Angelina-Jolie/22.jpg,112.36821428571429
Angelina-Jolie,23,celebrities/Angelina-Jolie/23.jpg,69.87362146050671
Angelina-Jolie,24,celebrities/Angelina-Jolie/24.jpg,74.52828614008942
Angelina-Jolie,25,celebrities/Angelina-Jolie/25.jpg,106.69518132141083
Angelina-Jolie,26,celebrities/Angelina-Jolie/26.jpg,164.98498765432097
Angelina-Jolie,27,celebrities/Angelina-Jolie/27.jpg,103.31569517439083
Angelina-Jolie,28,celebrities/Angelina-Jolie/28.jpg,81.15061728395062
Angelina-Jolie,29,celebrities/Angelina-Jolie/29.jpg,115.38326875310482
Angelina-Jolie,3,celebrities/Angelina-Jolie/3.jpg,91.1684126984127
Angelina-Jolie,30,celebrities/Angelina-Jolie/30.jpg,54.180665673124686
Angelina-Jolie,31,celebrities/Angelina-Jolie/31.jpg,130.24734126984126
Angelina-Jolie,32,celebrities/Angelina-Jolie/32.jpg,106.3515061728395
Angelina-Jolie,33,celebrities/Angelina-Jolie/33.jpg,96.45114038928472
Angelina-Jolie,34,celebrities/Angelina-Jolie/34.jpg,79.38665400893952
Angelina-Jolie,35,celebrities/Angelina-Jolie/35.jpg,131.5871038251366
Angelina-Jolie,36,celebrities/Angelina-Jolie/36.jpg,81.57840213155174
Angelina-Jolie,37,celebrities/Angelina-Jolie/37.jpg,39.31447590660705
Angelina-Jolie,38,celebrities/Angelina-Jolie/38.jpg,65.72924603174603
Angelina-Jolie,39,celebrities/Angelina-Jolie/39.jpg,84.2811061728395
Angelina-Jolie,4,celebrities/Angelina-Jolie/4.jpg,96.47695976154992
Angelina-Jolie,40,celebrities/Angelina-Jolie/40.jpg,51.23801701959232
Angelina-Jolie,41,celebrities/Angelina-Jolie/41.jpg,161.6095238095238
Angelina-Jolie,42,celebrities/Angelina-Jolie/42.jpg,103.06987577639751
Angelina-Jolie,43,celebrities/Angelina-Jolie/43.jpg,55.253778712262466
Angelina-Jolie,44,celebrities/Angelina-Jolie/44.jpg,84.21915548931942
Angelina-Jolie,45,celebrities/Angelina-Jolie/45.jpg,141.66713036565977
